A1-1,Easy-NYTimes,unsolved
0,0,4,1,0,0,5,2,7
2,1,3,7,0,0,0,0,0
0,0,7,6,2,4,0,0,0
3,5,0,2,7,0,0,0,0
0,0,0,0,3,0,8,7,5
0,4,0,0,0,6,0,1,3
4,7,2,0,1,0,0,5,0
0,3,1,0,6,2,0,0,9
9,0,0,0,0,0,1,8,0

A2-1,Medium-NYTimes,unsolved
2,0,0,6,0,0,0,0,0
6,0,0,0,5,1,0,4,0
0,7,0,0,0,0,0,0,0
0,0,0,0,3,0,0,1,4
0,0,5,0,6,0,0,0,0
0,1,9,0,4,0,0,5,0
0,0,6,0,0,0,0,2,5
0,0,0,9,0,0,0,8,0
8,9,0,0,0,0,4,0,0

A3-1,Hard-NYTimes,unsolved
0,0,6,0,9,0,0,0,0
1,7,0,0,0,3,0,9,0
0,0,0,7,0,0,0,0,5
0,0,0,5,0,0,6,0,0
0,9,0,0,3,0,2,0,0
0,0,4,0,0,2,1,0,0
0,0,0,9,7,8,0,0,0
0,4,0,0,0,5,0,8,0
0,0,0,0,0,6,0,0,0

A4-1,WebSudoku-Hard,unsolved
0,6,0,0,0,0,4,0,0
0,0,0,6,0,0,1,5,7
0,0,0,5,0,0,8,0,0
7,0,0,0,0,5,9,3,0
0,2,0,0,7,0,0,1,0
0,9,6,1,0,0,0,0,4
0,0,2,0,0,6,0,0,0
9,5,8,0,0,4,0,0,0
0,0,3,0,0,0,0,7,0

A5-1,WebSudoku-Evil,unsolved
0,0,0,1,0,0,0,9,3
1,0,4,0,6,0,0,0,0
5,3,0,0,7,0,0,0,0
2,7,0,0,0,6,0,0,0
0,1,0,0,0,0,0,5,0
0,0,0,9,0,0,0,4,7
0,0,0,0,3,0,0,6,2
0,0,0,0,4,0,8,0,9
7,6,0,0,0,1,0,0,0

A6-1,hardest-sudoku-telegraph,unsolved
8,0,0,0,0,0,0,0,0
0,0,3,6,0,0,0,0,0
0,7,0,0,9,0,2,0,0
0,5,0,0,0,7,0,0,0
0,0,0,0,4,5,7,0,0
0,0,0,1,0,0,0,3,0
0,0,1,0,0,0,0,6,8
0,0,8,5,0,0,0,1,0
0,9,0,0,0,0,4,0,0

A7-1,sudokugarden.de/files/100sudoku2-en.pdf-Nr-100,unsolved
0,0,0,2,0,0,0,0,0
0,0,0,0,9,0,5,0,0
1,0,6,0,0,0,0,4,0
0,0,0,0,0,0,0,8,0
4,0,0,0,0,6,0,0,0
0,9,0,3,0,0,2,0,0
0,0,7,0,0,0,0,0,0
0,8,0,0,0,4,0,6,0
0,2,0,0,0,0,0,0,0

A8-1,sudokugarden.de/files/100sudoku2-en.pdf-Nr-50,unsolved
0,0,0,0,3,0,9,0,4
0,0,0,0,0,0,0,0,6
8,0,0,0,0,5,0,0,0
0,0,0,9,0,0,0,0,0
7,0,0,0,0,0,0,8,0
0,0,0,6,0,8,0,0,0
0,1,6,0,0,0,0,0,0
4,0,9,0,0,0,0,0,0
0,0,0,0,7,0,0,3,0

A11-1,Who-knows,unsolved
0,0,0,0,0,0,1,0,8
0,0,0,0,0,0,3,0,0
7,0,0,0,0,9,0,0,0
0,0,0,6,0,0,0,0,0
0,0,0,3,1,0,0,0,0
5,0,0,0,0,0,0,2,0
0,0,8,5,0,0,0,4,0
0,1,3,0,0,0,0,0,0
0,6,0,0,0,2,0,0,0
